,Date,Value,High,Low,TR,ATR,Unit,upper_bound,lower_bound,Value Shift
44,2016-11-11,1236.45,1303.75,1267.5,36.25,28.571214526459322,0.35000262207051674,1303.75,1266.25,1267.5
45,2016-11-14,1213.6,1302.8,1236.45,66.34999999999991,30.46015380013635,0.32829775140384343,1303.75,1267.5,1236.45
46,2016-11-15,1226.95,1302.8,1213.6,89.20000000000005,33.39714611012953,0.29942678236710013,1303.75,1236.45,1213.6
47,2016-11-16,1229.2,1283.05,1213.6,69.45000000000005,35.199788804623054,0.28409261360927895,1303.75,1213.6,1226.95
48,2016-11-17,1226.75,1282.35,1213.6,68.75,36.8772993643919,0.2711695317270394,1303.75,1213.6,1229.2
49,2016-11-18,1211.0,1281.4,1213.6,67.80000000000018,38.42343439617231,0.2602578389243671,1303.75,1213.6,1226.75
50,2016-11-21,1214.25,1267.5,1211.0,56.5,39.327262676363695,0.2542765328543997,1303.75,1213.6,1211.0
51,2016-11-22,1212.25,1236.45,1211.0,25.450000000000045,38.63339954254551,0.2588433872868831,1303.75,1211.0,1214.25
52,2016-11-23,1185.35,1229.2,1211.0,18.200000000000045,37.61172956541824,0.26587450552112896,1303.75,1211.0,1212.25
53,2016-11-24,1186.1,1229.2,1185.35,43.850000000000136,37.92364308714733,0.26368774690291,1303.75,1211.0,1185.35
54,2016-11-25,1187.7,1229.2,1185.35,43.850000000000136,38.219960932789974,0.2616433862291241,1303.75,1185.35,1186.1
55,2016-11-28,1187.0,1226.75,1185.35,41.40000000000009,38.37896288615048,0.2605594119274292,1303.75,1185.35,1187.7
56,2016-11-29,1186.55,1214.25,1185.35,28.90000000000009,37.90501474184296,0.26381733573001626,1303.75,1185.35,1187.0
57,2016-11-30,1178.1,1214.25,1185.35,28.90000000000009,37.45476400475082,0.26698873336197193,1303.75,1185.35,1186.55
58,2016-12-01,1161.85,1212.25,1178.1,34.15000000000009,37.28952580451328,0.2681718199481546,1303.75,1185.35,1178.1
59,2016-12-02,1173.5,1187.7,1161.85,25.850000000000136,36.717549514287626,0.2723493297424104,1302.8,1178.1,1161.85
60,2016-12-05,1162.2,1187.7,1161.85,25.850000000000136,36.174172038573246,0.2764403284569112,1302.8,1161.85,1173.5
61,2016-12-06,1172.5,1187.7,1161.85,25.850000000000136,35.65796343664459,0.28044226411773443,1283.05,1161.85,1162.2
62,2016-12-07,1177.65,1187.0,1161.85,25.15000000000009,35.132565264812364,0.2846362036083848,1282.35,1161.85,1172.5
63,2016-12-08,1171.05,1186.55,1161.85,24.700000000000045,34.61093700157175,0.2889260120159671,1281.4,1161.85,1177.65
64,2016-12-09,1163.6,1178.1,1161.85,16.25,33.69289015149316,0.29679852203349294,1267.5,1161.85,1171.05
65,2016-12-12,1156.1,1177.65,1161.85,15.800000000000182,32.79824564391851,0.3048943565020896,1236.45,1161.85,1163.6
66,2016-12-13,1158.55,1177.65,1156.1,21.550000000000182,32.2358333617226,0.31021378872972394,1229.2,1161.85,1156.1
67,2016-12-14,1162.25,1177.65,1156.1,21.550000000000182,31.70154169363648,0.31544207208090835,1229.2,1156.1,1158.55
68,2016-12-15,1126.95,1177.65,1156.1,21.550000000000182,31.193964608954662,0.3205748331563267,1229.2,1156.1,1162.25
69,2016-12-16,1131.6,1177.65,1126.95,50.700000000000045,32.16926637850693,0.3108557056396301,1226.75,1156.1,1126.95
70,2016-12-19,1136.25,1171.05,1126.95,44.09999999999991,32.765803059581586,0.30519624322394673,1214.25,1126.95,1131.6
71,2016-12-20,1125.7,1163.6,1126.95,36.649999999999864,32.9600129066025,0.30339793944670496,1214.25,1126.95,1136.25
72,2016-12-21,1133.65,1162.25,1125.7,36.549999999999955,33.13951226127237,0.3017545919553632,1212.25,1126.95,1125.7
73,2016-12-22,1131.35,1162.25,1125.7,36.549999999999955,33.31003664820875,0.300209816807204,1187.7,1125.7,1133.65
74,2016-12-23,1131.35,1162.25,1125.7,36.549999999999955,33.47203481579831,0.29875685942105157,1187.7,1125.7,1131.35
75,2016-12-28,1134.6,1136.25,1125.7,10.549999999999955,32.32593307500839,0.3093491524837417,1187.7,1125.7,1131.35
76,2016-12-29,1145.9,1136.25,1125.7,10.549999999999955,31.23713642125797,0.32013177729040004,1187.0,1125.7,1134.6
77,2016-12-30,1145.9,1145.9,1125.7,20.200000000000045,30.68527960019507,0.3258891602192352,1186.55,1125.7,1145.9
78,2017-01-03,1151.0,1145.9,1125.7,20.200000000000045,30.16101562018532,0.33155382185828913,1178.1,1125.7,1145.9
79,2017-01-04,1164.25,1151.0,1131.35,19.65000000000009,29.63546483917606,0.33743354640351997,1177.65,1125.7,1151.0
80,2017-01-05,1176.7,1164.25,1131.35,32.90000000000009,29.79869159721726,0.33558520404747727,1177.65,1125.7,1164.25
81,2017-01-06,1175.85,1176.7,1131.35,45.350000000000136,30.576257017356404,0.32705114933863777,1177.65,1125.7,1176.7
82,2017-01-09,1178.5,1176.7,1134.6,42.100000000000136,31.15244416648859,0.32100210007782415,1177.65,1125.7,1175.85
83,2017-01-10,1189.5,1178.5,1145.9,32.59999999999991,31.224821958164153,0.320258031043324,1177.65,1131.35,1178.5
84,2017-01-11,1178.55,1189.5,1145.9,43.59999999999991,31.84358086025594,0.31403503405865474,1178.5,1131.35,1189.5
85,2017-01-12,1205.05,1189.5,1151.0,38.5,32.17640181724314,0.31078677027961094,1189.5,1131.35,1178.55
86,2017-01-13,1190.35,1205.05,1164.25,40.799999999999955,32.607581726380985,0.306677142877773,1189.5,1134.6,1205.05
87,2017-01-16,1203.0,1205.05,1175.85,29.200000000000045,32.43720264006194,0.30828798990358636,1205.05,1145.9,1190.35
88,2017-01-17,1216.05,1205.05,1175.85,29.200000000000045,32.27534250805884,0.3098340473847209,1205.05,1145.9,1203.0
89,2017-01-18,1214.75,1216.05,1178.5,37.549999999999955,32.539075382655895,0.30732280749840357,1205.05,1151.0,1216.05
90,2017-01-19,1196.05,1216.05,1178.55,37.5,32.7871216135231,0.30499780120605297,1216.05,1164.25,1214.75
91,2017-01-20,1200.55,1216.05,1178.55,37.5,33.02276553284695,0.3028213972586046,1216.05,1175.85,1196.05
92,2017-01-23,1212.85,1216.05,1190.35,25.700000000000045,32.6566272562046,0.3062165581750347,1216.05,1175.85,1200.55
93,2017-01-24,1216.8,1216.05,1190.35,25.700000000000045,32.308795893394375,0.30951323698338534,1216.05,1178.5,1212.85
94,2017-01-25,1195.0,1216.8,1196.05,20.75,31.730856098724654,0.3151506523771959,1216.05,1178.55,1216.8
95,2017-01-26,1189.7,1216.8,1195.0,21.799999999999955,31.23431329378842,0.320160712545222,1216.8,1178.55,1195.0
96,2017-01-27,1184.85,1216.8,1189.7,27.09999999999991,31.027597629098995,0.3222937244300724,1216.8,1190.35,1189.7
97,2017-01-30,1192.8,1216.8,1184.85,31.950000000000045,31.073717747644046,0.3218153708292012,1216.8,1189.7,1184.85
98,2017-01-31,1212.8,1216.8,1184.85,31.950000000000045,31.117531860261845,0.321362248294838,1216.8,1184.85,1192.8
99,2017-02-01,1203.65,1216.8,1184.85,31.950000000000045,31.159155267248757,0.3209329622138683,1216.8,1184.85,1212.8
100,2017-02-02,1221.95,1216.8,1184.85,31.950000000000045,31.19869750388632,0.3205262014144768,1216.8,1184.85,1203.65
101,2017-02-03,1215.2,1221.95,1184.85,37.100000000000136,31.493762628692007,0.31752319079491703,1216.8,1184.85,1221.95
102,2017-02-06,1226.75,1221.95,1184.85,37.100000000000136,31.774074497257413,0.3147219913789512,1221.95,1184.85,1215.2
103,2017-02-07,1231.0,1226.75,1184.85,41.90000000000009,32.28037077239455,0.30978578500565973,1221.95,1184.85,1226.75
104,2017-02-08,1242.1,1231.0,1192.8,38.200000000000045,32.57635223377482,0.3069711405450763,1226.75,1184.85,1231.0
105,2017-02-09,1236.8,1242.1,1203.65,38.44999999999982,32.87003462208607,0.3042284595976905,1231.0,1184.85,1242.1
106,2017-02-10,1228.3,1242.1,1203.65,38.44999999999982,33.14903289098176,0.3016679259659643,1242.1,1184.85,1236.8
107,2017-02-13,1222.25,1242.1,1215.2,26.899999999999864,32.83658124643266,0.30453840261115467,1242.1,1184.85,1228.3
108,2017-02-14,1230.75,1242.1,1215.2,26.899999999999864,32.539752184111016,0.3073164154238072,1242.1,1192.8,1222.25
109,2017-02-15,1224.4,1242.1,1222.25,19.84999999999991,31.90526457490546,0.31342789766004103,1242.1,1203.65,1230.75
110,2017-02-16,1240.55,1242.1,1222.25,19.84999999999991,31.30250134616018,0.319463287914743,1242.1,1203.65,1224.4
111,2017-02-17,1241.95,1242.1,1222.25,19.84999999999991,30.729876278852167,0.32541621415123784,1242.1,1215.2,1240.55
112,2017-02-20,1237.3,1241.95,1222.25,19.700000000000045,30.17838246490956,0.3313630215810166,1242.1,1215.2,1241.95
113,2017-02-21,1233.2,1241.95,1222.25,19.700000000000045,29.654463341664087,0.3372173653856061,1242.1,1222.25,1237.3
114,2017-02-22,1236.65,1241.95,1222.25,19.700000000000045,29.156740174580886,0.34297386951090275,1242.1,1222.25,1233.2
115,2017-02-23,1247.9,1241.95,1224.4,17.549999999999955,28.576403165851836,0.3499390718265683,1242.1,1222.25,1236.65
116,2017-02-24,1253.65,1247.9,1224.4,23.5,28.322583007559246,0.35307514139268364,1242.1,1222.25,1247.9
117,2017-02-27,1257.2,1253.65,1233.2,20.450000000000045,27.928953857181284,0.3580513631529643,1247.9,1222.25,1253.65
118,2017-02-28,1255.6,1257.2,1233.2,24.0,27.732506164322217,0.3605876778949379,1253.65,1222.25,1257.2
119,2017-03-01,1240.4,1257.2,1233.2,24.0,27.545880856106105,0.36303068514083464,1257.2,1224.4,1255.6
120,2017-03-02,1238.1,1257.2,1233.2,24.0,27.3685868133008,0.3653824023950013,1257.2,1224.4,1240.4
121,2017-03-03,1226.5,1257.2,1236.65,20.549999999999955,27.02765747263576,0.369991369400938,1257.2,1233.2,1238.1
122,2017-03-06,1230.95,1257.2,1226.5,30.700000000000045,27.211274599003975,0.36749472956941287,1257.2,1233.2,1226.5
123,2017-03-07,1216.65,1257.2,1226.5,30.700000000000045,27.385710869053774,0.365153931837502,1257.2,1226.5,1230.95
124,2017-03-08,1209.2,1257.2,1216.65,40.549999999999955,28.043925325601084,0.3565834626891934,1257.2,1226.5,1216.65
125,2017-03-09,1206.55,1255.6,1209.2,46.399999999999864,28.961729059321023,0.34528325223668255,1257.2,1216.65,1209.2
126,2017-03-10,1202.65,1240.4,1206.55,33.850000000000136,29.20614260635498,0.3423937263739887,1257.2,1209.2,1206.55
127,2017-03-13,1204.2,1238.1,1202.65,35.44999999999982,29.51833547603722,0.33877248966554807,1257.2,1206.55,1202.65
128,2017-03-14,1204.6,1230.95,1202.65,28.299999999999955,29.457418702235355,0.3394730577408385,1257.2,1202.65,1204.2
129,2017-03-15,1198.8,1230.95,1202.65,28.299999999999955,29.399547767123586,0.34014128649906056,1257.2,1202.65,1204.6
130,2017-03-16,1229.35,1216.65,1198.8,17.850000000000136,28.822070378767414,0.34695633827078504,1257.2,1202.65,1198.8
131,2017-03-17,1229.6,1229.35,1198.8,30.549999999999955,28.90846685982904,0.34591941691297073,1257.2,1198.8,1229.35
132,2017-03-20,1232.4,1229.6,1198.8,30.799999999999955,29.003043516837586,0.3447914007436683,1257.2,1198.8,1229.6
133,2017-03-21,1241.6,1232.4,1198.8,33.600000000000136,29.232891340995714,0.3420804286292464,1257.2,1198.8,1232.4
134,2017-03-22,1249.05,1241.6,1198.8,42.799999999999955,29.911246773945926,0.33432240640368294,1257.2,1198.8,1241.6
135,2017-03-23,1247.5,1249.05,1198.8,50.25,30.92818443524863,0.3233296807620906,1257.2,1198.8,1249.05
136,2017-03-24,1247.5,1249.05,1198.8,50.25,31.894275213486203,0.3135358910984624,1257.2,1198.8,1247.5
137,2017-03-27,1257.55,1249.05,1229.35,19.700000000000045,31.284561452811896,0.3196464817025967,1257.2,1198.8,1247.5
138,2017-03-28,1257.25,1257.55,1229.6,27.950000000000045,31.117833380171305,0.3213591344175052,1257.2,1198.8,1257.55
139,2017-03-29,1251.1,1257.55,1232.4,25.149999999999864,30.81944171116273,0.32447051097548024,1257.55,1198.8,1257.25
140,2017-03-30,1248.8,1257.55,1241.6,15.950000000000045,30.075969625604596,0.3324913585325174,1257.55,1198.8,1251.1
141,2017-03-31,1244.85,1257.55,1247.5,10.049999999999955,29.074671144324366,0.34394198133353915,1257.55,1229.35,1248.8
142,2017-04-03,1247.25,1257.55,1244.85,12.700000000000045,28.25593758710815,0.353907916492657,1257.55,1229.6,1244.85
143,2017-04-04,1257.65,1257.55,1244.85,12.700000000000045,27.478140707752743,0.36392564207150224,1257.55,1232.4,1247.25
144,2017-04-05,1245.8,1257.65,1244.85,12.800000000000182,26.744233672365112,0.37391237761779755,1257.55,1241.6,1257.65
145,2017-04-06,1252.5,1257.65,1244.85,12.800000000000182,26.047021988746867,0.3839210487986041,1257.65,1244.85,1245.8
146,2017-04-07,1266.45,1257.65,1244.85,12.800000000000182,25.384670889309533,0.39393853257366385,1257.65,1244.85,1252.5
147,2017-04-10,1250.05,1266.45,1244.85,21.600000000000136,25.195437344844063,0.39689725814766924,1257.65,1244.85,1266.45
148,2017-04-11,1252.9,1266.45,1244.85,21.600000000000136,25.015665477601864,0.39974950932061526,1266.45,1244.85,1250.05
149,2017-04-12,1274.3,1266.45,1245.8,20.65000000000009,24.797382203721774,0.4032683739696977,1266.45,1244.85,1252.9
150,2017-04-13,1284.15,1274.3,1245.8,28.5,24.982513093535687,0.4002799863472316,1266.45,1244.85,1274.3
151,2017-04-18,1278.95,1284.15,1245.8,38.350000000000136,25.65088743885891,0.38985005972350306,1274.3,1244.85,1284.15
152,2017-04-19,1279.05,1284.15,1250.05,34.100000000000136,26.07334306691597,0.3835334799352536,1284.15,1244.85,1278.95
153,2017-04-20,1282.1,1284.15,1250.05,34.100000000000136,26.474675913570177,0.37771944905562677,1284.15,1245.8,1279.05
154,2017-04-21,1281.85,1284.15,1250.05,34.100000000000136,26.855942117891676,0.37235707301208054,1284.15,1245.8,1282.1
155,2017-04-24,1269.4,1284.15,1252.9,31.25,27.07564501199709,0.3693356149251125,1284.15,1245.8,1281.85
156,2017-04-25,1267.8,1284.15,1269.4,14.75,26.459362761397234,0.37793805127421487,1284.15,1250.05,1269.4
157,2017-04-26,1261.85,1284.15,1267.8,16.350000000000136,25.95389462332738,0.38529862839976214,1284.15,1250.05,1267.8
158,2017-04-27,1262.8,1282.1,1261.85,20.25,25.66869989216101,0.38957952845340293,1284.15,1250.05,1261.85
159,2017-04-28,1266.45,1282.1,1261.85,20.25,25.397764897552957,0.39373543460761334,1284.15,1252.9,1262.8
160,2017-05-02,1255.45,1282.1,1261.85,20.25,25.140376652675307,0.3977665147246651,1284.15,1261.85,1266.45
161,2017-05-03,1250.3,1281.85,1255.45,26.399999999999864,25.203357820041536,0.3967725281449629,1284.15,1261.85,1255.45
162,2017-05-04,1228.45,1269.4,1250.3,19.100000000000136,24.898189929039468,0.40163562204723624,1284.15,1255.45,1250.3
163,2017-05-05,1228.05,1267.8,1228.45,39.34999999999991,25.62078043258749,0.39030817294233694,1284.15,1250.3,1228.45
164,2017-05-08,1229.8,1266.45,1228.05,38.40000000000009,26.25974141095812,0.38081106144583077,1284.15,1228.45,1228.05
165,2017-05-09,1220.4,1266.45,1228.05,38.40000000000009,26.866754340410218,0.3722072221041983,1284.15,1228.05,1229.8
166,2017-05-10,1222.95,1266.45,1220.4,46.049999999999955,27.82591662338971,0.35937719987252,1284.15,1228.05,1220.4
167,2017-05-11,1223.15,1255.45,1220.4,35.049999999999955,28.18712079222022,0.3547719567995057,1284.15,1220.4,1222.95
168,2017-05-12,1231.25,1250.3,1220.4,29.899999999999864,28.272764752609202,0.3536972803155776,1284.15,1220.4,1223.15
169,2017-05-15,1233.3,1231.25,1220.4,10.849999999999909,27.401626514978737,0.36494184002302316,1284.15,1220.4,1231.25
170,2017-05-16,1234.2,1233.3,1220.4,12.899999999999864,26.676545189229795,0.3748611347183492,1284.15,1220.4,1233.3
171,2017-05-17,1257.4,1234.2,1220.4,13.799999999999955,26.032717929768307,0.3841319998541159,1284.15,1220.4,1234.2
172,2017-05-18,1255.9,1257.4,1220.4,37.0,26.58108203327989,0.3762074089941056,1282.1,1220.4,1257.4
173,2017-05-19,1252.0,1257.4,1222.95,34.450000000000045,26.9745279316159,0.3707201114084874,1282.1,1220.4,1255.9
174,2017-05-22,1258.85,1257.4,1223.15,34.25,27.338301535035107,0.36578717178843784,1282.1,1220.4,1252.0
175,2017-05-23,1260.2,1258.85,1231.25,27.59999999999991,27.35138645828335,0.3656121789384284,1281.85,1220.4,1258.85
176,2017-05-24,1252.55,1260.2,1233.3,26.90000000000009,27.32881713536919,0.36591411733872353,1269.4,1220.4,1260.2
177,2017-05-25,1256.95,1260.2,1234.2,26.0,27.262376278600733,0.3668058828697694,1267.8,1222.95,1252.55
178,2017-05-26,1265.05,1260.2,1252.0,8.200000000000045,26.309257464670697,0.3800943456282819,1266.45,1223.15,1256.95
179,2017-05-30,1262.7,1265.05,1252.0,13.049999999999955,25.64629459143716,0.3899198757289024,1266.45,1231.25,1265.05
180,2017-05-31,1266.2,1265.05,1252.0,13.049999999999955,25.0164798618653,0.39973649591059496,1266.45,1233.3,1262.7
181,2017-06-01,1264.85,1266.2,1252.55,13.650000000000091,24.44815586877204,0.40902880584024476,1265.05,1234.2,1266.2
182,2017-06-02,1274.95,1266.2,1252.55,13.650000000000091,23.908248075333443,0.41826569510616607,1266.2,1252.0,1264.85
183,2017-06-05,1279.95,1274.95,1252.55,22.40000000000009,23.832835671566777,0.41958918098572184,1266.2,1252.0,1274.95
184,2017-06-06,1293.5,1279.95,1256.95,23.0,23.791193887988438,0.4203235889329935,1274.95,1252.0,1279.95
185,2017-06-07,1291.0,1293.5,1262.7,30.799999999999955,24.141634193589013,0.4142221657329052,1279.95,1252.55,1293.5
186,2017-06-08,1273.1,1293.5,1262.7,30.799999999999955,24.47455248390956,0.40858765473135233,1293.5,1252.55,1291.0
187,2017-06-09,1266.55,1293.5,1264.85,28.65000000000009,24.683324859714084,0.40513180687100653,1293.5,1252.55,1273.1
188,2017-06-12,1266.4,1293.5,1264.85,28.65000000000009,24.881658616728384,0.401902467758995,1293.5,1256.95,1266.55
189,2017-06-13,1262.0,1293.5,1266.4,27.09999999999991,24.99257568589196,0.40011882431328966,1293.5,1262.7,1266.4
190,2017-06-14,1275.5,1293.5,1262.0,31.5,25.317946901597363,0.39497673483820595,1293.5,1262.7,1262.0
191,2017-06-15,1254.55,1293.5,1262.0,31.5,25.627049556517495,0.3902126921769186,1293.5,1262.0,1275.5
192,2017-06-16,1255.4,1291.0,1254.55,36.450000000000045,26.168197078691623,0.38214325465099974,1293.5,1262.0,1254.55
193,2017-06-19,1248.15,1275.5,1254.55,20.950000000000045,25.907287224757045,0.3859917834409148,1293.5,1254.55,1255.4
194,2017-06-20,1242.2,1275.5,1248.15,27.34999999999991,25.979422863519186,0.38492002122349667,1293.5,1254.55,1248.15
195,2017-06-21,1242.5,1275.5,1242.2,33.299999999999955,26.345451720343227,0.3795721594053473,1293.5,1248.15,1242.2
196,2017-06-22,1250.8,1275.5,1242.2,33.299999999999955,26.693179134326066,0.3746275387310652,1293.5,1242.2,1242.5
197,2017-06-23,1255.7,1275.5,1242.2,33.299999999999955,27.02352017760976,0.37004801499863305,1293.5,1242.2,1250.8
198,2017-06-26,1245.25,1255.7,1242.2,13.5,26.347344168729272,0.3795448959090399,1293.5,1242.2,1255.7
199,2017-06-27,1249.55,1255.7,1242.2,13.5,25.70497696029281,0.38902972040968087,1293.5,1242.2,1245.25
200,2017-06-28,1248.0,1255.7,1242.2,13.5,25.09472811227817,0.3984900715105685,1293.5,1242.2,1249.55
201,2017-06-29,1243.5,1255.7,1242.2,13.5,24.51499170666426,0.4079136603289797,1293.5,1242.2,1248.0
202,2017-06-30,1242.25,1255.7,1242.5,13.200000000000045,23.94924212133105,0.4175497474758596,1293.5,1242.2,1243.5
203,2017-07-03,1229.25,1255.7,1242.25,13.450000000000045,23.4242800152645,0.4269074649672678,1293.5,1242.2,1242.25
204,2017-07-04,1223.75,1255.7,1229.25,26.450000000000045,23.575566014501277,0.4241679709343573,1293.5,1242.2,1229.25
205,2017-07-05,1220.3,1249.55,1223.75,25.799999999999955,23.68678771377621,0.4221762832865687,1293.5,1229.25,1223.75
206,2017-07-06,1224.9,1249.55,1220.3,29.25,23.9649483280874,0.417276092695756,1291.0,1223.75,1220.3
207,2017-07-07,1215.65,1248.0,1220.3,27.700000000000045,24.15170091168303,0.4140495129749908,1275.5,1220.3,1224.9
208,2017-07-10,1211.9,1243.5,1215.65,27.84999999999991,24.336615866098875,0.41090347380344244,1275.5,1220.3,1215.65
209,2017-07-11,1211.05,1242.25,1211.9,30.34999999999991,24.637285072793926,0.4058888781963498,1275.5,1215.65,1211.9
210,2017-07-12,1218.8,1229.25,1211.05,18.200000000000045,24.315420819154234,0.4112616464413644,1275.5,1211.9,1211.05
211,2017-07-13,1218.9,1224.9,1211.05,13.850000000000136,23.792149778196528,0.4203067017157124,1275.5,1211.05,1218.8
212,2017-07-14,1230.3,1224.9,1211.05,13.850000000000136,23.29504228928671,0.42927588951400864,1255.7,1211.05,1218.9
213,2017-07-17,1234.1,1230.3,1211.05,19.25,23.092790174822376,0.4330355892161878,1255.7,1211.05,1230.3
214,2017-07-18,1240.75,1234.1,1211.05,23.049999999999955,23.090650666081252,0.43307571296331576,1255.7,1211.05,1234.1
215,2017-07-19,1242.15,1240.75,1211.05,29.700000000000045,23.421118132777192,0.42696509804992117,1255.7,1211.05,1240.75
216,2017-07-20,1238.7,1242.15,1211.05,31.100000000000136,23.80506222613834,0.42007871708143824,1255.7,1211.05,1242.15
217,2017-07-21,1248.55,1242.15,1218.8,23.350000000000136,23.782309114831428,0.4204806165673657,1255.7,1211.05,1238.7
218,2017-07-24,1255.55,1248.55,1218.9,29.649999999999864,24.07569365908985,0.4153566722354631,1255.7,1211.05,1248.55
219,2017-07-25,1254.4,1255.55,1230.3,25.25,24.134408976135358,0.41434617312933675,1249.55,1211.05,1255.55
220,2017-07-26,1248.1,1255.55,1234.1,21.450000000000045,24.000188527328593,0.41666339364847804,1255.55,1211.05,1254.4
221,2017-07-27,1261.1,1255.55,1238.7,16.84999999999991,23.64267910096216,0.4229639101937919,1255.55,1218.8,1248.1
222,2017-07-28,1264.9,1261.1,1238.7,22.399999999999864,23.580545145914044,0.42407840608098774,1255.55,1218.9,1261.1
223,2017-07-31,1267.55,1264.9,1238.7,26.200000000000045,23.711517888618346,0.42173597012952313,1261.1,1230.3,1264.9
224,2017-08-01,1270.95,1267.55,1248.1,19.450000000000045,23.49844199418743,0.42556012872996424,1264.9,1234.1,1267.55
225,2017-08-02,1269.6,1270.95,1248.1,22.850000000000136,23.466019894478066,0.42614810883856624,1267.55,1238.7,1270.95
226,2017-08-03,1268.1,1270.95,1248.1,22.850000000000136,23.43521889975417,0.426708196871372,1270.95,1238.7,1269.6
227,2017-08-04,1257.7,1270.95,1248.1,22.850000000000136,23.405957954766468,0.42724164588032026,1270.95,1238.7,1268.1
228,2017-08-07,1258.0,1270.95,1257.7,13.25,22.898160057028143,0.4367163114894332,1270.95,1248.1,1257.7
229,2017-08-08,1261.8,1270.95,1257.7,13.25,22.415752054176735,0.4461148560097807,1270.95,1248.1,1258.0
