,Unnamed: 0,customer_id,review_id,product_id,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,year,month,day,helpful_rate,review_length,review,total_sentiscore
32,32,38328350,R3ALDVS4RB8YJD,B0052G51AQ,423421857,danby 0.7 cu.ft. countertop microwave,4,47,53,N,Y,gap on the top right,i just received mine and when it s running you can see the interior light shinning through a gap on the top corner not sure if this is normal or safe so i ve submitted a question about it for now i ll give it a 3 star review for looks and the slightly annoying bang the door makes when it closes pending any heating and an answer to my question i ll update then i m attaching pictures of the gap br br update 9 26 2015 well the gap doesn t seem to be a normal feature but it doesn t seem to affect the operation of the microwave oven in any way i mostly use it for heating up leftovers and it works great for that purpose have not tried it for any serious cooking the loud door is far more tolerable now after a few uses barely noticeable updating my review to 4 stars won t do five only because of that gap ,2015-08-19,2015,8,19,0.8867924528301887,828,gap on the top right i just received mine and when it s running you can see the interior light shinning through a gap on the top corner not sure if this is normal or safe so i ve submitted a question about it for now i ll give it a 3 star review for looks and the slightly annoying bang the door makes when it closes pending any heating and an answer to my question i ll update then i m attaching pictures of the gap br br update 9 26 2015 well the gap doesn t seem to be a normal feature but it doesn t seem to affect the operation of the microwave oven in any way i mostly use it for heating up leftovers and it works great for that purpose have not tried it for any serious cooking the loud door is far more tolerable now after a few uses barely noticeable updating my review to 4 stars won t do five only because of that gap ,0.9241
33,33,30384634,R7LFUNGK7ZW6L,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,5,0,0,N,Y,five stars,works well with proper preparation ,2015-08-19,2015,8,19,,45,five stars works well with proper preparation ,0.2732
34,34,33685362,RYUZHTA87W6I9,B003KI1W3I,984005611,sharp rmotda252wrzz microwave turntable motor,3,0,1,N,N,i m an idiot,i am giving three 3 stars because i have to in order to get this message on to the page i must rate the product well this is a first and more than likely my last attempt to rate a product before receiving it i have the older sharp model r 410lw it is no longer if ever listed on sharps pages for repair oem well i am guessing and ordering this 34 rmotda252wrzz 34 however my burned up sharp motor is 34 rmotda264wrzz 34 but i m thinking that the rpm 3 three is the same 60hz is the same 120 v is the same 2w is the same so i ll maybe be losing money on this part but the same one is 36 00 wish me stupid i know ,2015-08-19,2015,8,19,0.0,623,i m an idiot i am giving three 3 stars because i have to in order to get this message on to the page i must rate the product well this is a first and more than likely my last attempt to rate a product before receiving it i have the older sharp model r 410lw it is no longer if ever listed on sharps pages for repair oem well i am guessing and ordering this 34 rmotda252wrzz 34 however my burned up sharp motor is 34 rmotda264wrzz 34 but i m thinking that the rpm 3 three is the same 60hz is the same 120 v is the same 2w is the same so i ll maybe be losing money on this part but the same one is 36 00 wish me stupid i know ,-0.6597
35,35,47830216,R2UQX5X29O3ICI,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,4,0,0,N,Y,but it fits where we wanted it just perfect and we like the looks,we ordered it for a boat that we are rebuilding not real sure how its going to work yet but it fits where we wanted it just perfect and we like the looks that is about all i can tell you at the present time terry,2015-08-19,2015,8,19,,277,but it fits where we wanted it just perfect and we like the looks we ordered it for a boat that we are rebuilding not real sure how its going to work yet but it fits where we wanted it just perfect and we like the looks that is about all i can tell you at the present time terry,0.9447
36,37,52830657,RPR2PCYD8LDEM,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,4,0,0,N,Y,it s pretty powerful it looks as if there are many ,needed one in a hurry and my teen bought this it s pretty powerful it looks as if there are many brands that are actually this same machine ,2015-08-18,2015,8,18,,191,it s pretty powerful it looks as if there are many  needed one in a hurry and my teen bought this it s pretty powerful it looks as if there are many brands that are actually this same machine ,0.9001
37,38,48862363,R17Z5LA3XNPOSX,B00EU7AMX4,991090482,ge pvm9179sfss profile 1.7 cu. ft. stainless steel over-the-range microwave - convection,5,0,1,N,Y,what a great unit took some fiddling to install but the ,what a great unit took some fiddling to install but the unit itself is really very nice ,2015-08-18,2015,8,18,0.0,144,what a great unit took some fiddling to install but the  what a great unit took some fiddling to install but the unit itself is really very nice ,0.9295
38,39,13408354,R1V1MIFZU32A97,B005GSZB7I,827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd",5,3,3,N,Y,the fabuous whirlpool mini ,i had found a small blue cube micro wave some years ago after 16 years of service it finally wore out i love the cube shape and took a risk on ordering this little gem i couldn t be happier it is the great same size the outside is fabulous and it has more power than the last microwave would not hesitate to purchase this again totally worth the price ,2015-08-18,2015,8,18,1.0,379,the fabuous whirlpool mini  i had found a small blue cube micro wave some years ago after 16 years of service it finally wore out i love the cube shape and took a risk on ordering this little gem i couldn t be happier it is the great same size the outside is fabulous and it has more power than the last microwave would not hesitate to purchase this again totally worth the price ,0.9517
39,40,43476708,R33HSAVWTVNLG6,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,5,0,1,N,Y,five stars,love lg products got product in a timely manner ,2015-08-18,2015,8,18,0.0,58,five stars love lg products got product in a timely manner ,0.6369
40,41,43776930,R37VRG2JRLUORR,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,3,2,2,N,Y,nothing special but fits the bill ,works well enough for my purposes just the right size i dig the 1 touch feature for 30 seconds start and minutes number buttons it s also good that it has the removable glass rotator thingy what brings the star count down are the button sizes themselves super tiny and the handle while this microwave is nice and light and the door seals well that doesn t make for a good combination for opening the door so i have to hold one side to apply opposite pressure to open the door i think this could be solved with some super rubber feet but i shouldn t have to add them myself ,2015-08-17,2015,8,17,1.0,607,nothing special but fits the bill  works well enough for my purposes just the right size i dig the 1 touch feature for 30 seconds start and minutes number buttons it s also good that it has the removable glass rotator thingy what brings the star count down are the button sizes themselves super tiny and the handle while this microwave is nice and light and the door seals well that doesn t make for a good combination for opening the door so i have to hold one side to apply opposite pressure to open the door i think this could be solved with some super rubber feet but i shouldn t have to add them myself ,0.9819
41,42,2200793,R1UFH7URKHIN3E,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,1,1,1,N,Y,received defected item,came in brand new package but item doesn t work at all ,2015-08-17,2015,8,17,1.0,77,received defected item came in brand new package but item doesn t work at all ,-0.2144
42,43,43357025,R3M0JKAJ6MB493,B0052G51AQ,423421857,danby 0.7 cu.ft. countertop microwave,5,0,1,N,Y,but it heats quickly and is very easy to clean,you can t use the 34 cook 34 feature with a timer going on the machine but it heats quickly and is very easy to clean ,2015-08-16,2015,8,16,0.0,164,but it heats quickly and is very easy to clean you can t use the 34 cook 34 feature with a timer going on the machine but it heats quickly and is very easy to clean ,0.955
43,44,47563179,RE5FI6X7K940Q,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,five stars,got it sooner thank you,2015-08-15,2015,8,15,,33,five stars got it sooner thank you,0.3612
44,45,52927350,R4IVJK585QSVN,B000W3JHHM,943347999,pem31smss ge profile spacemaker countertop microwave oven stainless steel,4,0,0,N,N,this has been a good microwave for us,this has been a good microwave for us sure the paint has peeled inside but for us it was only after 2 3 years i just scraped it off it is not needed for cooking the thing that we really like is that the styling on the front completely matches our jenn aire stove right below it cooking wise it has been fine and heavily used for many years it is now reaching end of life and i am struggling to find a replacement that fits the space and matches the stove ,2015-08-15,2015,8,15,,492,this has been a good microwave for us this has been a good microwave for us sure the paint has peeled inside but for us it was only after 2 3 years i just scraped it off it is not needed for cooking the thing that we really like is that the styling on the front completely matches our jenn aire stove right below it cooking wise it has been fine and heavily used for many years it is now reaching end of life and i am struggling to find a replacement that fits the space and matches the stove ,0.902
45,46,45699801,R191WJ8DHZTEB3,B00EU7AMX4,991090482,ge pvm9179sfss profile 1.7 cu. ft. stainless steel over-the-range microwave - convection,1,6,9,N,Y,it looks like it is cooking but the water is at room ,it came slightly damaged but main problem is that it does not heat at all in any functions i have tried to heat a cup of water with microwave express it looks like it is cooking but the water is at room temperature after 30 seconds then i have tried all the functions and none of them work the surface light and the vent fan works fine i really should try it before i install it now i have all the trouble to remove it and install another one br br i order it from amazon and contacted both the seller home care company since it is saturday so i will have to wait up to two working days to to get a respond from home care company i am not sure what will happen but i am not recommend to buy this product or buy it online ,2015-08-15,2015,8,15,0.6666666666666666,774,it looks like it is cooking but the water is at room  it came slightly damaged but main problem is that it does not heat at all in any functions i have tried to heat a cup of water with microwave express it looks like it is cooking but the water is at room temperature after 30 seconds then i have tried all the functions and none of them work the surface light and the vent fan works fine i really should try it before i install it now i have all the trouble to remove it and install another one br br i order it from amazon and contacted both the seller home care company since it is saturday so i will have to wait up to two working days to to get a respond from home care company i am not sure what will happen but i am not recommend to buy this product or buy it online ,0.6348
46,47,21251181,RX0KIGMX2MNAG,B0043GDSR4,166483932,ge csa1201rss cafe advantium 1.7 cu. ft. stainless steel over-the-range microwave - convection,5,0,0,N,N,so far so good ,3yrs and counting so far so good ,2015-08-13,2015,8,13,,48,so far so good  3yrs and counting so far so good ,0.8459
47,48,9762969,R33QQZWE5WZ1MK,B0073YCGK8,542519500,"whirlpool wmh31017fs 1.7 cu. ft. over-the-range, combination microwave oven, stainless steel, 1000 watt",5,1,1,N,Y,easy install looks great works great ,lighter than the ge one it replaced easy simple to use touchpad installation was easy and i am not the best when it comes to installation of appliances i usually pay someone but the previous reviews indicated it was simple and they were right you just need 2 people when you are ready to lift it up and hang it in place ,2015-08-13,2015,8,13,1.0,357,easy install looks great works great  lighter than the ge one it replaced easy simple to use touchpad installation was easy and i am not the best when it comes to installation of appliances i usually pay someone but the previous reviews indicated it was simple and they were right you just need 2 people when you are ready to lift it up and hang it in place ,0.8694
48,49,33552683,R2XD9H8S4VPDDT,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,5,3,4,N,Y,great microwave i would purchase again ,install was really easy and the microwave looks and works great the buttons are really touch sensitive and it seems to clean very easily ,2015-08-13,2015,8,13,0.75,176,great microwave i would purchase again  install was really easy and the microwave looks and works great the buttons are really touch sensitive and it seems to clean very easily ,0.95
49,50,15901046,R2OXNE998ILXLZ,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,1,0,0,N,Y,amazon reviews were misleading ,one of my worst amazon purchases i hate this microwave and deeply regret purchasing it it is giant and heavy sits crooked on a flat surface and heats food unevenly you can get way better for less money shocked because usually amazon reviews are so spot on ,2015-08-12,2015,8,12,,287,amazon reviews were misleading  one of my worst amazon purchases i hate this microwave and deeply regret purchasing it it is giant and heavy sits crooked on a flat surface and heats food unevenly you can get way better for less money shocked because usually amazon reviews are so spot on ,-0.863
50,51,32907120,R1CXMZHGT72D65,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,5,0,1,N,Y,five stars,just installed it that part was easy,2015-08-12,2015,8,12,0.0,46,five stars just installed it that part was easy,0.4404
51,52,121139,RUXO2SYPJHRAR,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,4,0,1,N,N,pretty good so far ,after having read reviews for more expensive upmarket brand microwaves like lg and panasonic we went to our local canadian wal mart to see what they had br br the first thing i noticed about this one is that it is completely stainless steel front and back outside and inside all around it looks like a professional food service microwave to me the stainless steel interior is easier to clean than a white painted one br br we have heard that microwave ovens don t last like they used to we have one low quality unbranded otr one in a mobile home at the moment which was new in 1995 still working as well as it ever did and another lg 900 watt in an rv from 2004 also a good runner at this writing july 2013 br br we didn t want to spend a lot of money if the microwave was only going to last a couple of years well with this danby we have a two year replacement warranty if it dies before its time we either get a new one or a refund of the money we spent on this one fair enough i thou read more,2015-08-11,2015,8,11,0.0,1015,pretty good so far  after having read reviews for more expensive upmarket brand microwaves like lg and panasonic we went to our local canadian wal mart to see what they had br br the first thing i noticed about this one is that it is completely stainless steel front and back outside and inside all around it looks like a professional food service microwave to me the stainless steel interior is easier to clean than a white painted one br br we have heard that microwave ovens don t last like they used to we have one low quality unbranded otr one in a mobile home at the moment which was new in 1995 still working as well as it ever did and another lg 900 watt in an rv from 2004 also a good runner at this writing july 2013 br br we didn t want to spend a lot of money if the microwave was only going to last a couple of years well with this danby we have a two year replacement warranty if it dies before its time we either get a new one or a refund of the money we spent on this one fair enough i thou read more,0.9741
